Code,Ward name,Borough name,shape,Values
E05000026,Abbey,Barking and Dagenham,Freeform_618,128.3
E05000027,Alibon,Barking and Dagenham,Freeform_624,136.4
E05000028,Becontree,Barking and Dagenham,Freeform_623,128.8
E05000029,Chadwell Heath,Barking and Dagenham,Freeform_629,338.4
E05000030,Eastbrook,Barking and Dagenham,Freeform_628,345.1
E05000031,Eastbury,Barking and Dagenham,Freeform_620,143.9
E05000032,Gascoigne,Barking and Dagenham,Freeform_614,113.9
E05000033,Goresbrook,Barking and Dagenham,Freeform_621,127.8
E05000034,Heath,Barking and Dagenham,Freeform_626,200.1
E05000035,Longbridge,Barking and Dagenham,Freeform_619,164.5
E05000036,Mayesbrook,Barking and Dagenham,Freeform_622,185.6
E05000037,Parsloes,Barking and Dagenham,Freeform_630,124.4
E05000038,River,Barking and Dagenham,Freeform_616,354.4
E05000039,Thames,Barking and Dagenham,Freeform_615,788.8
E05000040,Valence,Barking and Dagenham,Freeform_625,129.3
E05000041,Village,Barking and Dagenham,Freeform_617,214.7
E05000042,Whalebone,Barking and Dagenham,Freeform_627,155.4
E05000043,Brunswick Park,Barnet,Freeform_208,317.5
E05000044,Burnt Oak,Barnet,Freeform_210,206.7
E05000045,Childs Hill,Barnet,Freeform_196,309.3
E05000046,Colindale,Barnet,Freeform_195,263.6
E05000047,Coppetts,Barnet,Freeform_207,272.1
E05000048,East Barnet,Barnet,Freeform_209,374.9
E05000049,East Finchley,Barnet,Freeform_199,251
E05000050,Edgware,Barnet,Freeform_200,555.7
E05000051,Finchley Church End,Barnet,Freeform_198,272.6
E05000052,Garden Suburb,Barnet,Freeform_197,472.7
E05000053,Golders Green,Barnet,Freeform_194,297.3
E05000054,Hale,Barnet,Freeform_202,542.3
E05000055,Hendon,Barnet,Freeform_211,283.9
E05000056,High Barnet,Barnet,Freeform_192,830.7
E05000057,Mill Hill,Barnet,Freeform_201,938.9
E05000058,Oakleigh,Barnet,Freeform_205,331.9
E05000059,Totteridge,Barnet,Freeform_203,877.4
E05000060,Underhill,Barnet,Freeform_191,455.1
E05000061,West Finchley,Barnet,Freeform_212,216.3
E05000062,West Hendon,Barnet,Freeform_193,342.9
E05000063,Woodhouse,Barnet,Freeform_206,262.1
E05000064,Barnehurst,Bexley,Freeform_308,287.7
E05000065,Belvedere,Bexley,Freeform_298,317.5
E05000066,Blackfen and Lamorbey,Bexley,Freeform_291,168.6
E05000067,Blendon and Penhill,Bexley,Freeform_302,209.8
E05000068,Brampton,Bexley,Freeform_306,196.7
E05000069,Christchurch,Bexley,Freeform_304,255.2
E05000070,Colyers,Bexley,Freeform_309,164.4
E05000071,Crayford,Bexley,Freeform_295,397.2
E05000072,Cray Meadows,Bexley,Freeform_292,719
E05000073,Danson Park,Bexley,Freeform_303,271.3
E05000074,East Wickham,Bexley,Freeform_301,217.3
E05000075,Erith,Bexley,Freeform_297,475.3
E05000076,Falconwood and Welling,Bexley,Freeform_300,167
E05000077,Lesnes Abbey,Bexley,Freeform_310,237
E05000078,Longlands,Bexley,Freeform_290,259.7
E05000079,North End,Bexley,Freeform_296,568
E05000080,Northumberland Heath,Bexley,Freeform_307,175.3
E05000081,St. Mary's,Bexley,Freeform_294,442.9
E05000082,St. Michael's,Bexley,Freeform_305,144.8
E05000083,Sidcup,Bexley,Freeform_293,270.3
E05000084,Thamesmead East,Bexley,Freeform_299,483.4
E05000085,Alperton,Brent,Freeform_178,205.9
E05000086,Barnhill,Brent,Freeform_175,297.9
E05000087,Brondesbury Park,Brent,Freeform_183,172.9
E05000088,Dollis Hill,Brent,Freeform_188,230
E05000089,Dudden Hill,Brent,Freeform_187,168.1
E05000090,Fryent,Brent,Freeform_176,265.9
E05000091,Harlesden,Brent,Freeform_180,111.4
E05000092,Kensal Green,Brent,Freeform_179,112
E05000093,Kenton,Brent,Freeform_186,224.3
E05000094,Kilburn,Brent,Freeform_184,94.4
E05000095,Mapesbury,Brent,Freeform_189,139.3
E05000096,Northwick Park,Brent,Freeform_170,268
E05000097,Preston,Brent,Freeform_172,238.8
E05000098,Queens Park,Brent,Freeform_182,148.6
E05000099,Queensbury,Brent,Freeform_190,205.1
E05000100,Stonebridge,Brent,Freeform_173,405.1
E05000101,Sudbury,Brent,Freeform_177,212.5
E05000102,Tokyngton,Brent,Freeform_185,275.9
E05000103,Welsh Harp,Brent,Freeform_174,231.9
E05000104,Wembley Central,Brent,Freeform_171,160.4
E05000105,Willesden Green,Brent,Freeform_181,154.8
E05000106,Bickley,Bromley,Freeform_55,486.9
E05000107,Biggin Hill,Bromley,Freeform_48,828
E05000108,Bromley Common and Keston,Bromley,Freeform_46,830.8
E05000109,Bromley Town,Bromley,Freeform_54,371.7
E05000110,Chelsfield and Pratts Bottom,Bromley,Freeform_47,1256.3
E05000111,Chislehurst,Bromley,Freeform_61,1044.1
E05000112,Clock House,Bromley,Freeform_50,226.6
E05000113,Copers Cope,Bromley,Freeform_59,328.7
E05000114,Cray Valley East,Bromley,Freeform_65,1327.9
E05000115,Cray Valley West,Bromley,Freeform_64,393.9
E05000116,Crystal Palace,Bromley,Freeform_57,229.1
E05000117,Darwin,Bromley,Freeform_44,2904
E05000118,Farnborough and Crofton,Bromley,Freeform_52,700.6
E05000119,Hayes and Coney Hall,Bromley,Freeform_45,1082.3
E05000120,Kelsey and Eden Park,Bromley,Freeform_51,519.9
E05000121,Mottingham and Chislehurst North,Bromley,Freeform_62,244.2
E05000122,Orpington,Bromley,Freeform_63,425.6
E05000123,Penge and Cator,Bromley,Freeform_58,296
E05000124,Petts Wood and Knoll,Bromley,Freeform_56,430.1
E05000125,Plaistow and Sundridge,Bromley,Freeform_60,400.1
E05000126,Shortlands,Bromley,Freeform_53,245.7
E05000127,West Wickham,Bromley,Freeform_49,441
E05000128,Belsize,Camden,Freeform_519,78.1
E05000129,Bloomsbury,Camden,Freeform_507,102.1
E05000130,Camden Town with Primrose Hill,Camden,Freeform_510,116.6
E05000131,Cantelowes,Camden,Freeform_511,75.9
E05000132,Fortune Green,Camden,Freeform_513,100.7
E05000133,Frognal and Fitzjohns,Camden,Freeform_514,153
E05000134,Gospel Oak,Camden,Freeform_515,69.2
E05000135,Hampstead Town,Camden,Freeform_516,244.9
E05000136,Haverstock,Camden,Freeform_520,73.2
E05000137,Highgate,Camden,Freeform_505,323.9
E05000138,Holborn and Covent Garden,Camden,Freeform_508,119.5
E05000139,Kentish Town,Camden,Freeform_517,102.9
E05000140,Kilburn,Camden,Freeform_506,68.5
E05000141,King's Cross,Camden,Freeform_512,61.1
E05000142,Regent's Park,Camden,Freeform_521,135
E05000143,St. Pancras and Somers Town,Camden,Freeform_509,139.9
E05000144,Swiss Cottage,Camden,Freeform_504,125.7
E05000145,West Hampstead,Camden,Freeform_518,88.7
E09000001,City of London,City of London,Freeform_631,314.9
E05000146,Addiscombe,Croydon,Freeform_43,158.8
E05000147,Ashburton,Croydon,Freeform_38,271.2
E05000148,Bensham Manor,Croydon,Freeform_31,144.1
E05000149,Broad Green,Croydon,Freeform_29,266.2
E05000150,Coulsdon East,Croydon,Freeform_20,774.4
E05000151,Coulsdon West,Croydon,Freeform_22,499.1
E05000152,Croham,Croydon,Freeform_34,352.7
E05000153,Fairfield,Croydon,Freeform_28,377.2
E05000154,Fieldway,Croydon,Freeform_35,148.6
E05000155,Heathfield,Croydon,Freeform_27,871.3
E05000156,Kenley,Croydon,Freeform_24,645.6
E05000157,New Addington,Croydon,Freeform_33,241.7
E05000158,Norbury,Croydon,Freeform_32,251.8
